Formula              ✕,Band gap              ✕,Cond. band minimum              ✕,Val. band maximum              ✕,Work function (avg. if finite dipole)              ✕
Zr2S6,1.182,0.07,-1.112,5.432
Cr3MoS8,0.899,-0.602,-1.501,5.398
Mo3WS8,1.559,0.319,-1.24,5.016
Al2Cl2Se2,1.416,-0.436,-1.852,4.547
AsClSe,1.373,-1.818,-3.192,5.583
AsITe,0.329,-0.576,-0.905,4.609
Bi2Br2O2,1.431,-1.354,-2.785,6.174
BiClSe,1.235,-2.085,-3.321,6.203
BiISe,0.607,-2.099,-2.706,5.705
VBrCl,1.289,-0.556,-1.845,3.981
Hf2Br2N2,2.064,0.18,-1.884,5.083
Ir2Br2O2,0.295,-0.142,-0.437,4.166
Ti4Br4Se4,0.063,-0.949,-1.012,4.714
Cr2Cl2S2,0.46,-2.178,-2.638,6.051
In2Cl2Se2,1.067,-1.737,-2.804,5.692
Tl2Cl2O2,1.03,-2.754,-3.784,7.0
Sc2Cl2Se2,1.409,-1.242,-2.651,5.34
Li2F2O2,2.912,-2.449,-5.361,5.542
Ga2I2S2,0.833,-1.227,-2.059,5.449
In2I2S2,1.539,-0.82,-2.359,5.4
ISSb,1.219,-1.281,-2.501,5.199
MoOTe,0.177,0.043,-0.134,4.567
WOS,1.503,0.257,-1.246,4.887
TiSTe,0.093,-1.091,-1.184,5.183
Au2I2Se4,0.715,-2.0,-2.715,5.071
Ru2P2Te6,0.2,-0.607,-0.807,4.7
Au2S2,1.216,-2.326,-3.542,5.372
Cr2W2S8,0.941,-0.333,-1.274,5.246
HfNiI6,0.862,-1.513,-2.375,5.231
Al8Te12,1.775,-1.404,-3.179,4.028
Ga2Se2,0.697,-2.455,-3.152,4.712
Nb3I7Te,0.565,-2.306,-2.871,4.689
K2C4,0.374,-4.705,-5.078,6.079
Nb3Br8,0.293,-2.408,-2.702,4.434
Pb2Br4,2.239,-3.043,-5.281,5.331
Sn2O2,0.014,-2.024,-2.039,3.035
As2O8Sb2,3.383,-1.909,-5.293,5.085
Ca4O12Te4,3.969,-0.199,-4.168,3.792
CrHO2,0.092,-2.596,-2.688,4.061
Cu4Cl4O4,0.313,-5.543,-5.856,7.323
Hg2GeO4,2.596,-3.314,-5.91,5.52
Ir2Ta2Te8,0.047,-1.918,-1.965,4.336
MnF12Sb2,1.742,-4.044,-5.786,7.1
NiRe2O8,1.575,-4.481,-6.056,6.935
Pd2O6Se2,0.636,-2.855,-3.491,4.711
Re6Cl2Se8,1.194,-2.453,-3.647,5.698
Sr2Br2H2,4.354,-0.23,-4.584,4.511
Zn2As4O8,3.605,-0.287,-3.892,4.251
Ag2Br2,1.834,-1.904,-3.738,5.411
AgInP2S6,1.317,-2.558,-3.875,5.219
CsC2I3N2,2.286,-0.994,-3.28,3.631
K2C6H6O6,2.647,-1.218,-3.865,3.97
Mn2Br2S4Sb2,0.124,-2.624,-2.748,4.328
H4O10Si4,5.471,-1.152,-6.622,5.094
Zn2Cl4O6Sb4,3.264,-2.239,-5.503,6.255
Cs2F2H6O6P2,5.59,0.393,-5.197,4.641
Zr3C2F2S2,0.02,1.237,1.217,6.347
AlAs,1.237,-1.965,-3.203,4.59
S3Sb2,0.599,-0.599,-1.199,5.608
Bi2Se2,0.348,-1.254,-1.602,4.693
Cu2Br2,1.496,-0.896,-2.392,4.47
Rb2Br2,4.18,-0.538,-4.718,3.768
Cd2S2,1.786,-1.246,-3.032,5.224
Cu2Se2,0.447,-2.371,-2.818,5.189
Rb2F2,4.557,-0.101,-4.658,3.381
Ga2O2,1.556,-1.824,-3.38,6.335
V2S2,0.214,-0.832,-1.045,5.036
Tl2Se2,0.494,-1.421,-1.915,5.595
